reg;date_de_passage;sursaud_cl_age_corona;nbre_pass_corona;nbre_pass_tot;nbre_hospit_corona;nbre_pass_corona_h;nbre_pass_corona_f;nbre_pass_tot_h;nbre_pass_tot_f;nbre_hospit_corona_h;nbre_hospit_corona_f;nbre_acte_corona;nbre_acte_tot;nbre_acte_corona_h;nbre_acte_corona_f;nbre_acte_tot_h;nbre_acte_tot_f
01;2020-02-24;0;0;300;0;0;0;148;152;0;0;;;;;;
01;2020-02-24;A;0;75;0;;;;;;;;;;;;
01;2020-02-24;B;0;102;0;;;;;;;;;;;;
01;2020-02-24;C;0;68;0;;;;;;;;;;;;
01;2020-02-24;D;0;20;0;;;;;;;;;;;;
01;2020-02-24;E;0;35;0;;;;;;;;;;;;
01;2020-02-25;0;0;235;0;0;0;113;122;0;0;;;;;;
01;2020-02-25;A;0;84;0;;;;;;;;;;;;
01;2020-02-25;B;0;77;0;;;;;;;;;;;;
01;2020-02-25;C;0;36;0;;;;;;;;;;;;
01;2020-02-25;D;0;12;0;;;;;;;;;;;;
01;2020-02-25;E;0;26;0;;;;;;;;;;;;
01;2020-02-26;0;0;270;0;0;0;132;138;0;0;;;;;;
01;2020-02-26;A;0;74;0;;;;;;;;;;;;
01;2020-02-26;B;0;100;0;;;;;;;;;;;;
01;2020-02-26;C;0;52;0;;;;;;;;;;;;
01;2020-02-26;D;0;19;0;;;;;;;;;;;;
01;2020-02-26;E;0;25;0;;;;;;;;;;;;
01;2020-02-27;0;0;297;0;0;0;155;142;0;0;;;;;;
01;2020-02-27;A;0;72;0;;;;;;;;;;;;
01;2020-02-27;B;0;104;0;;;;;;;;;;;;
01;2020-02-27;C;0;58;0;;;;;;;;;;;;
01;2020-02-27;D;0;20;0;;;;;;;;;;;;
01;2020-02-27;E;0;43;0;;;;;;;;;;;;
01;2020-02-28;0;0;263;0;0;0;117;146;0;0;;;;;;
01;2020-02-28;A;0;68;0;;;;;;;;;;;;
01;2020-02-28;B;0;89;0;;;;;;;;;;;;
01;2020-02-28;C;0;43;0;;;;;;;;;;;;
01;2020-02-28;D;0;20;0;;;;;;;;;;;;
01;2020-02-28;E;0;43;0;;;;;;;;;;;;
01;2020-02-29;0;0;237;0;0;0;105;132;0;0;;;;;;
01;2020-02-29;A;0;57;0;;;;;;;;;;;;
01;2020-02-29;B;0;77;0;;;;;;;;;;;;
01;2020-02-29;C;0;56;0;;;;;;;;;;;;
01;2020-02-29;D;0;22;0;;;;;;;;;;;;
01;2020-02-29;E;0;25;0;;;;;;;;;;;;
01;2020-03-01;0;0;229;0;0;0;105;124;0;0;;;;;;
01;2020-03-01;A;0;64;0;;;;;;;;;;;;
01;2020-03-01;B;0;85;0;;;;;;;;;;;;
01;2020-03-01;C;0;41;0;;;;;;;;;;;;
01;2020-03-01;D;0;19;0;;;;;;;;;;;;
01;2020-03-01;E;0;20;0;;;;;;;;;;;;
01;2020-03-02;0;0;280;0;0;0;123;157;0;0;;;;;;
01;2020-03-02;A;0;85;0;;;;;;;;;;;;
01;2020-03-02;B;0;90;0;;;;;;;;;;;;
01;2020-03-02;C;0;62;0;;;;;;;;;;;;
01;2020-03-02;D;0;25;0;;;;;;;;;;;;
01;2020-03-02;E;0;18;0;;;;;;;;;;;;
01;2020-03-03;0;0;247;0;0;0;122;125;0;0;;;;;;
01;2020-03-03;A;0;65;0;;;;;;;;;;;;
01;2020-03-03;B;0;95;0;;;;;;;;;;;;
01;2020-03-03;C;0;36;0;;;;;;;;;;;;
01;2020-03-03;D;0;20;0;;;;;;;;;;;;
01;2020-03-03;E;0;31;0;;;;;;;;;;;;
01;2020-03-04;0;0;222;0;0;0;107;115;0;0;;;;;;
01;2020-03-04;A;0;70;0;;;;;;;;;;;;
01;2020-03-04;B;0;73;0;;;;;;;;;;;;
01;2020-03-04;C;0;39;0;;;;;;;;;;;;
01;2020-03-04;D;0;10;0;;;;;;;;;;;;
01;2020-03-04;E;0;30;0;;;;;;;;;;;;
01;2020-03-05;0;0;246;0;0;0;116;130;0;0;;;;;;
01;2020-03-05;A;0;64;0;;;;;;;;;;;;
01;2020-03-05;B;0;80;0;;;;;;;;;;;;
01;2020-03-05;C;0;53;0;;;;;;;;;;;;
01;2020-03-05;D;0;20;0;;;;;;;;;;;;
01;2020-03-05;E;0;29;0;;;;;;;;;;;;
01;2020-03-06;0;0;243;0;0;0;108;135;0;0;;;;;;
01;2020-03-06;A;0;66;0;;;;;;;;;;;;
01;2020-03-06;B;0;85;0;;;;;;;;;;;;
01;2020-03-06;C;0;48;0;;;;;;;;;;;;
01;2020-03-06;D;0;22;0;;;;;;;;;;;;
01;2020-03-06;E;0;22;0;;;;;;;;;;;;
01;2020-03-07;0;0;260;0;0;0;131;129;0;0;;;;;;
01;2020-03-07;A;0;60;0;;;;;;;;;;;;
01;2020-03-07;B;0;91;0;;;;;;;;;;;;
01;2020-03-07;C;0;54;0;;;;;;;;;;;;
01;2020-03-07;D;0;28;0;;;;;;;;;;;;
01;2020-03-07;E;0;27;0;;;;;;;;;;;;
01;2020-03-08;0;0;247;0;0;0;119;128;0;0;;;;;;
01;2020-03-08;A;0;66;0;;;;;;;;;;;;
01;2020-03-08;B;0;83;0;;;;;;;;;;;;
01;2020-03-08;C;0;49;0;;;;;;;;;;;;
01;2020-03-08;D;0;23;0;;;;;;;;;;;;
01;2020-03-08;E;0;26;0;;;;;;;;;;;;
01;2020-03-09;0;0;283;0;0;0;141;142;0;0;;;;;;
01;2020-03-09;A;0;85;0;;;;;;;;;;;;
01;2020-03-09;B;0;89;0;;;;;;;;;;;;
01;2020-03-09;C;0;62;0;;;;;;;;;;;;
01;2020-03-09;D;0;17;0;;;;;;;;;;;;
01;2020-03-09;E;0;30;0;;;;;;;;;;;;
01;2020-03-10;0;0;261;0;0;0;122;139;0;0;;;;;;
01;2020-03-10;A;0;59;0;;;;;;;;;;;;
01;2020-03-10;B;0;111;0;;;;;;;;;;;;
01;2020-03-10;C;0;44;0;;;;;;;;;;;;
01;2020-03-10;D;0;19;0;;;;;;;;;;;;
01;2020-03-10;E;0;28;0;;;;;;;;;;;;
01;2020-03-11;0;0;284;0;0;0;124;159;0;0;;;;;;
01;2020-03-11;A;0;68;0;;;;;;;;;;;;
01;2020-03-11;B;0;104;0;;;;;;;;;;;;
01;2020-03-11;C;0;66;0;;;;;;;;;;;;
01;2020-03-11;D;0;19;0;;;;;;;;;;;;
01;2020-03-11;E;0;27;0;;;;;;;;;;;;
01;2020-03-12;0;0;295;0;0;0;142;153;0;0;;;;;;
01;2020-03-12;A;0;85;0;;;;;;;;;;;;
01;2020-03-12;B;0;100;0;;;;;;;;;;;;
01;2020-03-12;C;0;59;0;;;;;;;;;;;;
01;2020-03-12;D;0;22;0;;;;;;;;;;;;
01;2020-03-12;E;0;29;0;;;;;;;;;;;;
01;2020-03-13;0;0;236;0;0;0;118;118;0;0;;;;;;
01;2020-03-13;A;0;63;0;;;;;;;;;;;;
01;2020-03-13;B;0;79;0;;;;;;;;;;;;
01;2020-03-13;C;0;45;0;;;;;;;;;;;;
01;2020-03-13;D;0;22;0;;;;;;;;;;;;
01;2020-03-13;E;0;27;0;;;;;;;;;;;;
01;2020-03-14;0;0;232;0;0;0;112;120;0;0;;;;;;
01;2020-03-14;A;0;75;0;;;;;;;;;;;;
01;2020-03-14;B;0;76;0;;;;;;;;;;;;
01;2020-03-14;C;0;37;0;;;;;;;;;;;;
01;2020-03-14;D;0;18;0;;;;;;;;;;;;
01;2020-03-14;E;0;26;0;;;;;;;;;;;;
01;2020-03-15;0;0;180;0;0;0;88;92;0;0;;;;;;
01;2020-03-15;A;0;72;0;;;;;;;;;;;;
01;2020-03-15;B;0;58;0;;;;;;;;;;;;
01;2020-03-15;C;0;31;0;;;;;;;;;;;;
01;2020-03-15;D;0;9;0;;;;;;;;;;;;
01;2020-03-15;E;0;10;0;;;;;;;;;;;;
01;2020-03-16;0;0;185;0;0;0;85;100;0;0;;;;;;
01;2020-03-16;A;0;50;0;;;;;;;;;;;;
01;2020-03-16;B;0;60;0;;;;;;;;;;;;
01;2020-03-16;C;0;39;0;;;;;;;;;;;;
01;2020-03-16;D;0;18;0;;;;;;;;;;;;
01;2020-03-16;E;0;18;0;;;;;;;;;;;;
01;2020-03-17;0;0;180;0;0;0;86;94;0;0;;;;;;
01;2020-03-17;A;0;53;0;;;;;;;;;;;;
01;2020-03-17;B;0;70;0;;;;;;;;;;;;
01;2020-03-17;C;0;30;0;;;;;;;;;;;;
01;2020-03-17;D;0;13;0;;;;;;;;;;;;
01;2020-03-17;E;0;14;0;;;;;;;;;;;;
01;2020-03-18;0;0;154;0;0;0;76;78;0;0;;;;;;
01;2020-03-18;A;0;41;0;;;;;;;;;;;;
01;2020-03-18;B;0;51;0;;;;;;;;;;;;
01;2020-03-18;C;0;28;0;;;;;;;;;;;;
01;2020-03-18;D;0;16;0;;;;;;;;;;;;
01;2020-03-18;E;0;18;0;;;;;;;;;;;;
01;2020-03-19;0;1;118;1;1;0;56;62;1;0;;;;;;
01;2020-03-19;A;0;29;0;;;;;;;;;;;;
01;2020-03-19;B;0;41;0;;;;;;;;;;;;
01;2020-03-19;C;1;25;1;;;;;;;;;;;;
01;2020-03-19;D;0;6;0;;;;;;;;;;;;
01;2020-03-19;E;0;17;0;;;;;;;;;;;;
01;2020-03-20;0;1;155;0;1;0;63;91;0;0;;;;;;
01;2020-03-20;A;0;28;0;;;;;;;;;;;;
01;2020-03-20;B;1;66;0;;;;;;;;;;;;
01;2020-03-20;C;0;31;0;;;;;;;;;;;;
01;2020-03-20;D;0;15;0;;;;;;;;;;;;
01;2020-03-20;E;0;15;0;;;;;;;;;;;;
01;2020-03-21;0;3;137;2;1;2;67;70;1;1;;;;;;
01;2020-03-21;A;0;25;0;;;;;;;;;;;;
01;2020-03-21;B;1;58;0;;;;;;;;;;;;
01;2020-03-21;C;0;23;0;;;;;;;;;;;;
